X1,X2,Y
34,20,1369.561651
34,30,1363.16183
34,40,1356.562015
34,50,1350.062197
34,60,1343.362385
34,70,1336.662572
34,80,1329.862763
34,90,1322.962956
34,100,1316.063149
36,0,1402.960716
36,10,1396.460898
36,15,1393.260988
36,18,1391.261044
36,20,1389.96108
36,30,1383.461262
36,40,1376.76145
36,50,1370.161634
36,60,1363.361825
36,70,1356.662012
36,80,1349.762206
36,90,1342.862399
36,100,1335.962592
38,0,1423.360145
38,10,1416.76033
38,15,1413.460422
38,18,1411.460478
38,20,1410.060517
38,30,1403.460702
38,40,1396.660892
38,50,1389.96108
38,60,1383.16127
38,70,1376.261464
38,80,1369.461654
38,90,1362.561847
38,100,1355.562043
40,0,1443.459582
40,10,1436.659772
40,15,1433.359865
40,18,1431.359921
40,20,1429.95996
40,30,1423.16015
40,40,1416.360341
40,50,1409.460534
40,60,1402.660724
40,70,1395.760918
40,80,1388.861111
40,90,1381.961304
40,100,1374.9615
42,0,1463.15903
42,10,1456.059229
42,15,1452.859319
42,18,1450.759378
42,20,1449.359417
42,30,1442.45961
42,40,1435.559803
42,50,1428.659996
42,60,1421.660192
42,70,1414.760386
42,80,1407.860579
42,90,1400.860775
42,100,1393.960968
44,0,1482.45849
44,10,1475.458686
44,15,1471.958784
44,18,1469.858843
44,20,1468.458882
44,30,1461.459078
44,40,1454.459274
44,50,1447.45947
44,60,1440.459666
44,70,1433.459862
44,80,1426.560055
44,90,1419.560251
44,100,1412.660444
46,0,1501.75795
46,10,1494.658148
46,15,1491.058249
46,18,1488.958308
46,20,1487.258356
46,30,1480.458546
46,40,1473.358745
46,50,1466.258944
46,60,1459.25914
46,70,1452.259336
46,80,1445.359529
46,90,1438.359725
46,100,1431.459918
48,0,1520.957412
48,10,1513.757614
48,15,1510.157714
48,18,1507.957776
48,20,1506.457818
48,30,1499.358017
48,40,1492.158218
48,50,1485.058417
48,60,1478.058613
48,70,1471.058809
48,80,1464.059005
48,90,1457.159198
48,100,1450.259392
50,0,1539.95688
50,10,1532.557087
50,15,1528.957188
50,18,1526.75725
50,20,1525.257292
50,30,1518.057493
50,40,1510.857695
50,50,1503.757894
50,60,1496.658092
50,70,1489.658288
50,80,1482.658484
50,90,1475.858675
50,100,1468.958868
